#,app_id,app_name,review_id,language_id,language_name,time_id,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,vote_score,comment_count,acquisition_id,steam_purchase,steam_gifted,written_during_beta,author_id,author_num_games_owned,author_num_reviews,author_playtime,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
392,292030,The Witcher 3: Wild Hunt,85106272,2887,english,4539,1611260076,1611260076,True,0,0,0.0,0,5001,True,False,False,765612,21,1,2598,827,2376,1611363004
398,292030,The Witcher 3: Wild Hunt,85104240,2887,english,2630,1611257334,1611257334,True,0,0,0.0,0,5001,True,False,False,765612,12,3,5026,3654,4601,1611357974
406,292030,The Witcher 3: Wild Hunt,85102930,2887,english,3757,1611255599,1611255599,True,0,0,0.0,0,5001,True,False,False,765612,65,16,2477,2474,284,1611387478
409,292030,The Witcher 3: Wild Hunt,85102394,1920,spanish,4379,1611254870,1611254870,True,0,0,0.0,0,5001,True,False,False,765612,8,2,3221,2250,3199,1611278043
410,292030,The Witcher 3: Wild Hunt,85102194,2887,english,8998,1611254625,1611254625,True,0,0,0.0,0,5001,True,False,False,765612,10,2,4985,588,4904,1611268293
415,292030,The Witcher 3: Wild Hunt,85101766,2887,english,6538,1611254058,1611254058,True,0,0,0.0,0,5001,True,False,False,765612,10,3,6656,1712,6498,1611345121
416,292030,The Witcher 3: Wild Hunt,85101319,2887,english,7941,1611253481,1611253481,True,0,0,0.0,0,5001,True,False,False,765612,520,12,5030,1243,5030,1611253420
423,292030,The Witcher 3: Wild Hunt,85099638,2887,english,6995,1611251408,1611251408,True,0,0,0.0,0,5001,True,False,False,765612,46,15,13383,4,13383,1610675455
426,292030,The Witcher 3: Wild Hunt,85099509,2887,english,4143,1611251259,1611251259,True,0,0,0.0,0,5001,True,False,False,765612,125,25,886,235,726,1611264023
427,292030,The Witcher 3: Wild Hunt,85099466,2887,english,4836,1611251206,1611254264,True,0,0,0.0,0,5001,True,False,False,765612,42,21,11971,2392,11921,1611311672
428,292030,The Witcher 3: Wild Hunt,85099150,2887,english,1416,1611250771,1611250771,True,0,0,0.0,0,5001,True,False,False,765612,4,1,2296,211,2296,1611250696
